iter	Passed	Remaining
621	1597	970
622	1599	967
623	1601	964
624	1603	961
625	1605	958
626	1608	957
627	1611	954
628	1613	951
629	1614	948
630	1616	945
631	1618	942
632	1620	939
633	1623	937
634	1625	934
635	1627	931
636	1643	936
637	1646	934
638	1648	931
639	1649	928
640	1651	925
641	1654	922
642	1656	919
643	1658	916
644	1660	913
645	1662	910
646	1664	907
647	1666	904
648	1667	902
649	1670	899
650	1672	896
651	1676	894
652	1678	891
653	1679	888
654	1681	885
655	1683	882
656	1686	880
657	1688	877
658	1690	874
659	1691	871
660	1693	868
661	1698	867
662	1702	865
663	1704	862
664	1706	859
665	1708	856
666	1710	853
667	1711	850
668	1713	847
669	1716	845
670	1718	842
671	1720	839
672	1722	837
673	1724	834
674	1726	831
675	1729	828
676	1735	827
677	1737	825
678	1739	822
679	1741	819
680	1744	817
681	1746	814
682	1748	811
683	1750	808
684	1752	805
685	1754	802
686	1756	800
687	1757	797
688	1760	794
689	1762	791
690	1765	789
691	1767	786
692	1769	784
693	1772	781
694	1776	779
695	1778	776
696	1779	773
697	1781	770
698	1783	767
699	1785	765
700	1786	762
701	1791	760
702	1793	757
703	1795	754
704	1802	754
705	1806	752
706	1808	749
707	1810	746
708	1811	743
709	1813	740
710	1815	738
711	1817	735
712	1821	733
713	1823	730
714	1824	727
715	1826	724
716	1828	721
717	1830	718
718	1832	716
719	1834	713
720	1838	711
721	1840	708
722	1843	706
723	1856	707
724	1858	704
725	1859	701
726	1862	699
727	1864	696
728	1870	695
729	1872	692
730	1874	689
731	1876	686
732	1881	685
733	1885	683
734	1887	680
735	1889	677
736	1891	674
737	1892	672
738	1894	669
739	1896	666
740	1899	663
741	1901	661
742	1903	658
743	1905	655
744	1906	652
745	1908	649
746	1909	646
747	1911	643
748	1914	641
749	1916	638
750	1918	636
751	1920	633
752	1922	630
753	1923	627
754	1925	624
755	1932	623
756	1934	620
757	1935	618
758	1937	615
759	1939	612
760	1941	609
761	1944	607
762	1946	604
763	1948	601
764	1950	599
765	1952	596
766	1954	593
767	1956	590
768	1958	588
769	1960	585
770	1961	582
771	1963	579
772	1965	577
773	1967	574
774	1969	571
775	1972	569
776	1974	566
777	1976	563
778	1978	561
779	1980	558
780	1982	555
781	1984	553
782	1988	551
783	1990	548
784	1992	545
785	1994	542
786	1996	540
787	1998	537
788	1999	534
789	2001	532
790	2004	529
791	2005	526
792	2007	524
793	2009	521
794	2011	518
795	2013	516
796	2015	513
797	2021	511
798	2023	508
799	2024	506
800	2026	503
801	2028	500
802	2030	498
803	2033	495
804	2035	493
805	2037	490
806	2039	487
807	2040	484
808	2042	482
809	2044	479
810	2046	476
811	2049	474
812	2051	471
813	2057	470
814	2059	467
815	2061	464
816	2064	462
817	2066	459
818	2068	457
819	2070	454
820	2072	451
821	2074	449
822	2075	446
823	2079	444
824	2081	441
825	2083	438
826	2085	436
827	2086	433
828	2088	430
829	2095	429
830	2097	426
831	2099	423
832	2101	421
833	2104	418
834	2106	416
835	2108	413
836	2111	411
837	2113	408
838	2115	405
839	2117	403
840	2119	400
841	2121	398
842	2123	395
843	2126	393
844	2128	390
845	2130	387
846	2135	385
847	2138	383
848	2142	381
849	2144	378
850	2145	375
851	2147	373
852	2149	370
853	2151	367
854	2154	365
855	2156	362
856	2158	360
857	2160	357
858	2161	354
859	2163	352
860	2165	349
861	2167	347
862	2170	344
863	2172	341
864	2174	339
865	2176	336
866	2177	334
867	2179	331
868	2181	328
869	2183	326
870	2185	323
871	2187	321
872	2188	318
873	2190	315
874	2192	313
875	2194	310
876	2196	308
877	2200	305
878	2202	303
879	2203	300
880	2205	297
881	2207	295
882	2209	292
883	2211	290
884	2214	287
885	2217	285
886	2220	282
887	2222	280
888	2224	277
889	2225	275
890	2227	272
891	2229	269
892	2231	267
893	2233	264
894	2235	262
895	2237	259
896	2239	257
897	2240	254
898	2243	252
899	2245	249
900	2247	246
901	2249	244
902	2251	241
903	2253	239
904	2255	236
905	2256	234
906	2258	231
907	2260	229
908	2261	226
909	2263	223
910	2264	221
911	2266	218
912	2267	216
913	2269	213
914	2272	211
915	2274	208
916	2276	206
917	2277	203
918	2279	200
919	2281	198
920	2283	195
921	2285	193
922	2288	190
923	2290	188
924	2292	185
925	2294	183
926	2295	180
927	2297	178
928	2299	175
929	2303	173
930	2305	170
931	2307	168
932	2308	165
933	2310	163
934	2312	160
935	2314	158
936	2318	155
937	2320	153
938	2321	150
939	2324	148
940	2325	145
941	2327	143
942	2329	140
943	2331	138
944	2333	135
945	2335	133
946	2337	130
947	2339	128
948	2341	125
949	2343	123
950	2345	120
951	2348	118
952	2350	115
953	2352	113
954	2354	110
955	2356	108
956	2358	105
957	2360	103
958	2363	101
959	2365	98
960	2367	96
961	2368	93
962	2370	91
963	2372	88
964	2374	86
965	2378	83
966	2380	81
967	2381	78
968	2383	76
969	2385	73
970	2387	71
971	2389	68
972	2391	66
973	2394	63
974	2396	61
975	2398	58
976	2400	56
977	2402	54
978	2404	51
979	2406	49
980	2409	46
981	2411	44
982	2413	41
983	2415	39
984	2417	36
985	2419	34
986	2420	31
987	2424	29
988	2426	26
989	2427	24
990	2429	22
991	2431	19
992	2433	17
993	2435	14
994	2438	12
995	2440	9
996	2442	7
997	2444	4
998	2445	2
999	2447	0
